alpha,Cl,Cd
-7.24,-0.32,0.1437
-6.23,-0.296,0.1195
-5.19,-0.012,0.0411
-4.14,0.12,0.0364
-3.09,0.261,0.0353
-2.05,0.394,0.0366
-1.05,0.478,0.0414
0,0.543,0.0469
1.02,0.605,0.0517
2.05,0.655,0.0587
3.04,0.711,0.0655
4.01,0.797,0.076
5.12,1.066,0.0501
6.17,1.274,0.038
7.2,1.399,0.0341
8.23,1.512,0.0319
9.19,1.595,0.0314
10.3,1.676,0.0332
11.31,1.724,0.0369
12.3,1.738,0.0435
13.27,1.72,0.0566
,,
alpha,Cl,Cd
-7.15,-0.167,0.1111
-6.16,0.013,0.0425
-5.06,0.183,0.0273
-4.08,0.326,0.0225
-3.03,0.46,0.0191
-2.04,0.564,0.0199
-0.97,0.662,0.0208
0.03,0.761,0.0213
1.08,0.849,0.0221
2.1,0.946,0.0221
3.12,1.043,0.0219
4.14,1.137,0.0215
5.17,1.243,0.0216
6.14,1.345,0.0218
7.22,1.45,0.0224
8.26,1.535,0.0234
9.28,1.611,0.0249
10.31,1.668,0.0274
11.27,1.704,0.032
12.32,1.708,0.0413
13.25,1.697,0.0542
,,
alpha,Cl,Cd
-7.13,-0.078,0.0888
-6.11,0.112,0.028
-5.07,0.244,0.0198
-4.04,0.358,0.0169
-3.06,0.476,0.0142
-2.01,0.588,0.0146
-1,0.687,0.0154
0.05,0.786,0.016
1.12,0.889,0.0165
2.09,0.988,0.0167
3.12,1.087,0.017
4.18,1.195,0.0173
5.19,1.291,0.0172
6.19,1.39,0.0179
7.25,1.484,0.019
8.25,1.567,0.0201
9.24,1.634,0.0219
10.24,1.693,0.0252
11.3,1.722,0.0305
12.26,1.721,0.0403
13.28,1.709,0.0571
14.27,1.703,0.0762
,,
alpha,Cl,Cd
-8.22,-0.127,0.1162
-7.15,-0.029,0.0709
-6.16,0.13,0.0189
-5.09,0.25,0.0145
-4,0.374,0.0126
-3.06,0.486,0.0109
-2.03,0.605,0.0104
-0.97,0.72,0.0107
0.06,0.83,0.0113
1.08,0.931,0.0117
2.11,1.038,0.0121
3.15,1.15,0.0125
4.11,1.244,0.0131
5.11,1.343,0.0138
6.19,1.438,0.0145
7.25,1.521,0.0153
8.27,1.6,0.0172
9.31,1.66,0.0196
10.24,1.701,0.0235
11.3,1.719,0.0311
12.24,1.721,0.0439
13.22,1.721,0.0614
14.29,1.719,0.0812
,,
alpha,Cl,Cd
-8.29,-0.123,0.1132
-7.15,0,0.055
-6.11,0.147,0.0148
-5.08,0.259,0.0123
-4.09,0.381,0.0108
-2.98,0.507,0.0094
-1.96,0.63,0.0087
-1.05,0.725,0.009
0.07,0.841,0.0096
1.11,0.948,0.01
2.1,1.052,0.0106
3.17,1.162,0.0109
4.25,1.274,0.0116
5.14,1.36,0.0124
6.2,1.459,0.0135
7.26,1.547,0.0147
8.26,1.617,0.0166
9.27,1.673,0.0197
10.28,1.704,0.0249
11.26,1.717,0.0338
12.32,1.722,0.0505
13.31,1.723,0.0675
14.24,1.721,0.08
